date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:12	572/572	---M--	200	added ('OK')	text/plain	etag:%22841ec9-23c-4f4b73d457fc0%22	http://mycookroom.ru/robots.txt		(from )
20:13:13	24274/24274	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202014%2016:29:54%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/index.html	(from )
20:13:14	114011/114011	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:31:21%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:14	1665/1665	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:01%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.theme.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.theme.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:14	1486/1486	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:01%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.carousel.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.carousel.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:14	7782/7782	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:01%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/magnific-popup.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/magnific-popup.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:15	3250/3250	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:02%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/simpletextrotator.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/simpletextrotator.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:15	20766/20766	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:01%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:15	58380/58380	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:00%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/animate.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/animate.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:16	18038/18038	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Nov%202014%2016:30:02%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/style.css	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/style.css	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:16	20773/20773	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202014%2016:29:54%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/components.html	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/components.html	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:21	50913/50913	---M--	200	added ('OK')	image/jpeg	etag:%22546cc58f-c6e1%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/device.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/device.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:45	145832/145832	---M--	200	added ('OK')	image/jpeg	etag:%22546cc593-239a8%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p4.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p4.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:46	177874/177874	---M--	200	added ('OK')	image/jpeg	etag:%22546cc594-2b6d2%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p3.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p3.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:46	192966/192966	---M--	200	added ('OK')	image/jpeg	etag:%22546cc592-2f1c6%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p1.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p1.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:49	5728/5728	---M--	200	added ('OK')	image/jpeg	etag:%22b779eca12905edb571bcf6ddaad660b5%22	https://s3.amazonaws.com/uifaces/faces/twitter/soffes/128.jpg	D:/websites/anugoonj/s3.amazonaws.com/uifaces/faces/twitter/soffes/128.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:52	5069/5069	---M--	200	added ('OK')	image/jpeg	etag:%22f1c31b95bf12cc81190be1fdac5f378a%22	https://s3.amazonaws.com/uifaces/faces/twitter/dannpetty/128.jpg	D:/websites/anugoonj/s3.amazonaws.com/uifaces/faces/twitter/dannpetty/128.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:54	3908/3908	---M--	200	added ('OK')	image/jpeg	etag:%2274bb693f8b1dcaea83c524867249c4b1%22	https://s3.amazonaws.com/uifaces/faces/twitter/walterstephanie/128.jpg	D:/websites/anugoonj/s3.amazonaws.com/uifaces/faces/twitter/walterstephanie/128.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:13:59	279132/279132	---M--	200	added ('OK')	image/jpeg	etag:%22546cc592-4425c%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p2.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p2.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:11	96554/96554	---M--	200	added ('OK')	image/jpeg	etag:%22546cc590-1792a%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-1.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-1.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:11	67663/67663	---M--	200	added ('OK')	image/jpeg	etag:%22546cc590-1084f%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-2.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-2.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:22	63606/63606	---M--	200	added ('OK')	image/jpeg	etag:%22546cc591-f876%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-4.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-4.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:26	94444/94444	---M--	200	added ('OK')	image/jpeg	etag:%22546cc591-170ec%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-3.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/member1-3.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:39	344732/344732	---M--	200	added ('OK')	image/jpeg	etag:%22546cc596-5429c%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p6.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p6.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:42	96380/96380	---M--	200	added ('OK')	application/javascript	etag:%22546cc598-1787c%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery-1.11.0.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery-1.11.0.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:44	4233/4233	---M--	200	added ('OK')	application/javascript	etag:%22546cc598-1089%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.backstretch.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.backstretch.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:45	34653/34653	---M--	200	added ('OK')	application/javascript	etag:%22546cc5dc-875d%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/js/bootstrap.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/js/bootstrap.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:48	10804/10804	---M--	200	added ('OK')	application/javascript	etag:%22546cc599-2a34%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.knob.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.knob.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:48	23890/23890	---M--	200	added ('OK')	application/javascript	etag:%22546cc59b-5d52%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/owl.carousel.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/owl.carousel.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:49	424825/424825	---M--	200	added ('OK')	image/jpeg	etag:%22546cc594-67b79%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p5.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/p5.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:49	3112/3112	---M--	200	added ('OK')	application/javascript	etag:%22546cc59a-c28%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.simple-text-rotator.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.simple-text-rotator.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:51	20947/20947	---M--	200	added ('OK')	application/javascript	etag:%22546cc599-51d3%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.magnific-popup.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.magnific-popup.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:51	4776/4776	---M--	200	added ('OK')	application/javascript	etag:%22546cc59b-12a8%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/wow.min.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/wow.min.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:52	3261/3261	---M--	200	added ('OK')	application/javascript	etag:%22546cc598-cbd%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.fitvids.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.fitvids.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:52	7374/7374	---M--	200	added ('OK')	application/javascript	etag:%22546cc59b-1cce%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/smoothscroll.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/smoothscroll.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:52	20907/20907	---M--	200	added ('OK')	application/javascript	etag:%22546cc59a-51ab%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.waypoints.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/jquery.waypoints.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:54	7574/7574	---M--	200	added ('OK')	application/javascript	etag:%22546cc597-1d96%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/custom.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/custom.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:56	227483/227483	---M--	200	added ('OK')	image/png	etag:%22546cc5de-3789b%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/logo/client100-1.png	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/logo/client100-1.png	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:14:56	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ac3ee6-4f6f-50838be01ac07%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
20:14:58	23320/23320	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Nov%202014%2016:31:23%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
